jd,filter,tag,mag,emag
2460285.04,atlaso,ATLAS,18.97,0.3
2460285.83,atlaso,ATLAS,18.18,0.13
2460285.84,atlaso,ATLAS,18.14,0.14
2460285.84,atlaso,ATLAS,18.07,0.13
2460285.85,atlaso,ATLAS,18.22,0.14
2460285.95,sdssr,SEDM,18.09,0.07
2460285.98,sdssg,SEDM,18.23,0.05
2460285.99,sdssr,SEDM,18.08,0.04
2460285.99,sdssi,SEDM,17.91,0.06
2460286.88,sdssr,SEDM,17.72,0.06
2460286.91,sdssg,SEDM,17.98,0.05
2460286.92,sdssr,SEDM,17.78,0.04
2460286.92,sdssi,SEDM,17.65,0.02
2460286.92,atlasc,ATLAS,17.82,0.1
2460286.96,atlasc,ATLAS,17.69,0.09
2460286.96,atlasc,ATLAS,17.96,0.12
2460286.96,atlasc,ATLAS,18.02,0.1
2460289.88,sdssr,SEDM,18.17,0.09
2460289.92,sdssg,SEDM,18.71,0.11
2460289.92,sdssr,SEDM,18.22,0.08
2460289.92,sdssi,SEDM,17.81,0.03
2460289.96,atlaso,ATLAS,17.95,0.11
2460289.96,atlaso,ATLAS,17.78,0.09
2460289.97,atlaso,ATLAS,18.09,0.12
2460289.98,atlaso,ATLAS,17.82,0.08
2460290.42,sdssg,IOO,19.15,0.13
2460290.42,sdssr,IOO,18.23,0.06
2460290.42,sdssi,IOO,18.15,0.05
2460290.43,sdssz,IOO,17.92,0.08
2460290.58,sdssr,SEDM,18.28,0.09
2460291.38,sdssg,IOO,19.7,0.2
2460291.38,sdssr,IOO,18.77,0.08
2460291.38,sdssi,IOO,18.41,0.05
2460291.38,sdssz,IOO,18.19,0.09
2460291.58,sdssr,SEDM,18.81,0.08
2460291.6,sdssr,SEDM,18.85,0.08
2460291.6,sdssi,SEDM,18.39,0.07
2460292.45,sdssg,IOO,20.1,0.14
2460292.45,sdssr,IOO,19.17,0.08
2460292.45,sdssi,IOO,18.99,0.06
2460292.46,sdssz,IOO,18.6,0.08
2460293.4,sdssr,IOO,19.69,0.13
2460293.4,sdssi,IOO,19.37,0.1
2460293.4,sdssz,IOO,18.85,0.1
2460293.41,sdssg,IOO,20.75,0.3
2460294.39,sdssr,IOO,19.71,0.11
2460294.39,sdssi,IOO,19.47,0.11
2460294.39,sdssz,IOO,19.02,0.11
2460294.4,sdssg,IOO,20.9,0.4
2460294.5,sdssi,ALFOSC,19.53,0.08
2460294.5,sdssr,ALFOSC,20.0,0.1
2460294.5,sdssg,ALFOSC,20.86,0.15
2460295.49,sdssr,IOO,19.98,0.38
2460295.5,sdssi,IOO,19.58,0.33
2460295.5,sdssz,IOO,18.92,0.32
2460297.61,sdssr,IOO,20.08,0.21
2460297.61,sdssi,IOO,19.92,0.16
2460297.61,sdssz,IOO,19.58,0.23
2460304.5,sdssi,ALFOSC,20.66,0.14
2460304.5,sdssr,ALFOSC,20.97,0.17
2460310.43,sdssi,IOO,20.94,0.23
2460310.47,sdssi,ALFOSC,21.1,0.23
2460314.54,sdssz,IOO,21.02,0.34
2460316.4,sdssi,ALFOSC,21.25,0.17
2460320.51,sdssi,ALFOSC,21.64,0.3
2458338.99,ZTF_r,P48,20.66,0.35
2458767.04,ZTF_r,P48,19.9,0.34
2459115.88,ZTF_r,P48,20.58,0.3
2459263.69,ZTF_r,P48,19.92,0.31
2459640.73,ZTF_r,P48,20.56,0.35
2459968.7,ZTF_r,P48,20.81,0.26
2460285.73,ZTF_g,P48,18.34,0.06
2460287.65,ZTF_g,P48,17.96,0.05
2460287.7,ZTF_g,P48,17.97,0.04
2460287.78,ZTF_r,P48,17.55,0.03
2460288.82,ZTF_g,P48,18.22,0.07
2460289.82,ZTF_r,P48,18.29,0.21
2460289.87,ZTF_g,P48,18.71,0.11
2460290.87,ZTF_g,P48,19.48,0.21
2460290.89,ZTF_r,P48,18.26,0.05
2460291.73,ZTF_g,P48,20.35,0.33
2460291.74,ZTF_r,P48,18.7,0.05
2458500.88,o,P48,20.09,0.31
2458572.8,o,P48,19.86,0.33
2458775.07,o,P48,19.75,0.35
2459292.73,o,P48,19.74,0.36
2459457.11,o,P48,19.82,0.35
2460285.03,o,P48,19.33,0.26
2460285.84,o,P48,18.16,0.07
2460286.96,c,P48,17.88,0.05
2460289.96,o,P48,17.9,0.05
2460291.94,c,P48,19.6,0.32
