jd,filter,tag,mag,emag
2460285.041954,atlaso,ATLAS,18.069726643725197,0.298
2460285.833585,atlaso,ATLAS,17.283726643725192,0.132
2460285.836605,atlaso,ATLAS,17.24772664372519,0.14
2460285.84185,atlaso,ATLAS,17.170726643725192,0.126
2460285.852155,atlaso,ATLAS,17.32672664372519,0.136
2460285.9515234,sdssr,SEDM,17.08586050082538,0.0740423893731715
2460285.9836759,sdssg,SEDM,16.84335991516709,0.0542646545704511
2460285.9863442,sdssr,SEDM,17.07573146768529,0.0435313905691064
2460285.9890142,sdssi,SEDM,17.17317339619933,0.0550058400903926
2460286.8825582,sdssr,SEDM,16.71261034378765,0.0594558989987516
2460286.9147357,sdssg,SEDM,16.593054682383784,0.0466505142479823
2460286.9174068,sdssr,SEDM,16.77942599854638,0.0395026487197172
2460286.9200781,sdssi,SEDM,16.91842499913669,0.0210438980500718
2460286.921076,atlasc,ATLAS,16.617330911682693,0.104
2460286.955456,atlasc,ATLAS,16.481330911682694,0.091
2460286.958657,atlasc,ATLAS,16.755330911682695,0.117
2460286.964261,atlasc,ATLAS,16.812330911682693,0.103
2460289.8833537,sdssr,SEDM,17.164362577536558,0.0915558668380362
2460289.9155457,sdssg,SEDM,17.324785676551706,0.1139039089620088
2460289.9182263,sdssr,SEDM,17.214200756994288,0.0757017470627323
2460289.9208954,sdssi,SEDM,17.07207515713764,0.0347450111236192
2460289.956561,atlaso,ATLAS,17.055726643725194,0.111
2460289.959335,atlaso,ATLAS,16.88772664372519,0.093
2460289.965045,atlaso,ATLAS,17.19872664372519,0.125
2460289.975324,atlaso,ATLAS,16.926726643725193,0.085
2460290.421216,sdssg,IOO,17.760364552858643,0.1280635814091826
2460290.4232,sdssr,IOO,17.22243821438342,0.0596417004066744
2460290.424235,sdssi,IOO,17.413716322408213,0.0530350892796416
2460290.425286,sdssz,IOO,17.37755043750214,0.0792910153288384
2460290.5795497,sdssr,SEDM,17.277576927514374,0.0899461680023634
2460291.378258,sdssg,IOO,18.31670313332492,0.1955503073424199
2460291.380253,sdssr,IOO,17.76254541391308,0.0815238240548498
2460291.382221,sdssi,IOO,17.679529030738685,0.0514908150464495
2460291.383852,sdssz,IOO,17.640790196942994,0.0889451658105839
2460291.5841002,sdssr,SEDM,17.801867326846153,0.0830011722631919
